Country,OCDI_tile,OCV_tile,OPC_tile,WCV_tile,SCV_tile,ACV_tile,,,,,,,,
Turks and Caicos Islands,87,50,89,31,81,45,,,,,,,,
Tuvalu,79,83,67,75,98,78,,,,,,,,
Uganda,74,84,89,94,0,76,,,,,,,,
Ukraine,11,31,9,43,43,28,,,,,,,,
United Arab Emirates,37,26,38,5,42,26,,,,,,,,
United Kingdom,6,5,8,27,34,6,,,,,,,,
United States,19,9,19,69,22,6,,,,,,,,
Uruguay,13,26,13,59,39,44,,,,,,,,
Uzbekistan,40,73,33,40,0,71,,,,,,,,
Vanuatu,66,79,68,84,74,77,,,,,,,,
"Venezuela, RB",16,36,7,63,57,66,,,,,,,,
Vietnam,88,80,86,97,93,63,,,,,,,,
Virgin Islands (U.S.),32,30,34,33,70,40,,,,,,,,
Wallis and Futuna,64,62,64,51,90,59,,,,,,,,
West Bank and Gaza,42,70,38,54,89,84,,,,,,,,
"Yemen, Rep.",80,79,76,53,57,80,,,,,,,,
Zambia,91,88,93,87,0,89,,,,,,,,
Zimbabwe,89,97,47,84,0,98,,,,,,,,
