Country,OverallCDI,OverallCV,OverallPC,OverallPop08,WeatherCDI,WeatherCV,WeatherPC,SeaCDI,SeaCV,SeaPC,SeaPop08,AgCDI,AgCV,AgPC,AgPop08,Income_per_cap,KKM_score,Area,Island,Sm_Island,Region,WBRegion,Subregion,ISO3,IncomeStatus,WBLendingClass
United Kingdom,1.260,0.006,1.662,61642.60,0.02117,0.00031,0.02868,13.94000,0.21841,13.87730,2756.97,6.490,0.030,8.653,6201.25,32880,1.79,243610,0,0,Europe,ECA,Western Europe,GBR,High Income OECD,NC
United States,4.027,0.017,4.789,304374.84,2.70263,0.03391,3.30191,3.78000,0.05142,3.39522,5879.21,7.490,0.030,9.002,55700.61,42979,1.58,9826675,0,0,North America,NAM,North America,USA,High Income OECD,NC
Uruguay,3.264,0.077,3.121,3477.78,0.19554,0.01324,0.19205,3.81000,0.27909,2.74589,35.83,40.600,0.886,39.239,267.79,10321,0.08,176215,0,0,Latin America & Caribbean,LCR,Southern South America,URY,Upper Middle Income,IBRD
Uzbekistan,12.358,2.350,7.521,27345.03,0.00337,0.00185,0.00211,0.00000,0.00000,0.00000,,20.130,3.563,12.387,17276.59,2184,-1.41,447400,0,0,Asia,ECA,Western Asia,UZB,Low Income,Blend
Vanuatu,24.785,3.592,22.646,215.45,0.37222,0.15579,0.34939,3.67000,1.66268,2.52905,2.66,33.360,4.501,30.816,162.10,1754,-0.76,12189,1,1,Oceania,EAP,Pacific Islands,VUT,Lower Middle Income,IDA
"Venezuela, RB",3.604,0.206,1.616,26414.82,0.13212,0.02179,0.06086,3.74000,0.66754,1.26481,229.73,53.080,2.821,24.062,1764.51,10559,-1.44,912050,0,0,Latin America & Caribbean,LCR,Northern South America,VEN,Upper Middle Income,IBRD
Vietnam,36.566,3.692,35.407,87558.36,15.25752,4.44951,15.17742,37.18000,11.74374,27.16925,10031.78,25.120,2.362,24.595,63182.11,2349,-0.53,331210,0,0,Asia,EAP,Southeast Asia,VNM,Low Income,Blend
Virgin Islands (U.S.),7.514,0.096,7.917,109.83,0.02288,0.00084,0.02476,36.32000,1.44861,28.87319,13.16,65.390,0.776,69.651,5.65,16899,0.61,1910,1,1,Latin America & Caribbean,LCR,Caribbean Islands,VIR,High Income Non OECD,NC
Wallis and Futuna,22.691,1.369,20.246,15.24,0.03767,0.00656,0.03453,49.20000,9.28242,33.12718,2.27,33.360,1.873,30.092,7.30,4349,-0.46,142,1,1,Oceania,EAP,Pacific Islands,WLF,Lower Middle Income,NC
West Bank and Gaza,13.298,2.001,9.585,3907.88,0.01779,0.00773,0.01318,17.44000,8.21015,9.48578,235.13,44.930,6.294,32.736,1098.11,2250,-1.12,6220,0,0,Asia,MNA,Middle East,WBG,Lower Middle Income,NC
"Yemen, Rep.",31.652,3.620,28.382,22222.85,0.02206,0.00729,0.02032,1.83000,0.65484,1.23882,262.77,46.920,4.995,42.535,15413.77,2276,-0.7,527968,0,0,Asia,MNA,Middle East,YEM,Low Income,IDA
Zambia,42.174,6.204,49.706,12694.23,0.86975,0.36951,1.05307,0.00000,0.00000,0.00000,,65.890,9.023,78.508,8197.93,1270,-0.33,752618,0,0,Africa,SSA,Central Africa,ZMB,Low Income,IDA
Zimbabwe,38.495,20.339,13.382,11350.11,0.11957,0.18246,0.04270,0.00000,0.00000,0.00000,,63.060,31.016,22.161,7111.98,1542,-2.18,390757,0,0,Africa,SSA,Southern Africa,ZWE,Low Income,Blend
