Country,OverallCDI,OverallCV,OverallPC,OverallPop08,WeatherCDI,WeatherCV,WeatherPC,SeaCDI,SeaCV,SeaPC,SeaPop08,AgCDI,AgCV,AgPC,AgPop08,Income_per_cap,KKM_score,Area,Island,Sm_Island,Region,WBRegion,Subregion,ISO3,IncomeStatus,WBLendingClass
Cuba,16.210,4.182,9.056,11423.95,0.16820,0.12532,0.09653,14.81000,11.95406,6.24532,467.02,65.390,15.704,36.932,2780.59,1783,-1.59,110860,1,0,Latin America & Caribbean,LCR,Caribbean Islands,CUB,Upper Middle Income,NC
Cyprus,2.588,0.020,3.117,1066.82,0.00332,0.00007,0.00411,6.85000,0.16172,6.22846,24.51,8.320,0.058,10.129,321.11,24341,1.25,9251,1,1,Europe,ECA,Western Europe,CYP,High Income Non OECD,NC
Czech Republic,2.146,0.019,2.510,10220.91,0.00445,0.00011,0.00535,0.00000,0.00000,0.00000,,8.320,0.067,9.839,2708.54,21889,1.09,78867,0,0,Europe,ECA,Eastern Europe,CZE,High Income OECD,NC
Denmark,0.086,0.000,0.115,5484.72,0.00082,0.00001,0.00112,28.57000,0.41234,28.57141,480.73,-18.140,-0.078,-24.300,730.57,35492,1.86,43094,0,0,Europe,ECA,Western Europe,DNK,High Income OECD,NC
Djibouti,24.965,3.221,22.383,709.20,3.12689,1.16514,2.87999,78.09000,31.51241,52.82985,173.19,27.620,3.317,25.035,90.07,2017,-0.75,23200,0,0,Africa,SSA,East Africa,DJI,Lower Middle Income,IDA
Dominica,17.045,1.257,22.032,72.51,0.41413,0.08822,0.54991,4.64000,1.06965,4.52231,1.27,65.390,4.490,85.448,18.91,2270,0.16,751,1,1,Latin America & Caribbean,LCR,Caribbean Islands,DMA,Upper Middle Income,Blend
Dominican Republic,19.953,0.875,18.723,9558.18,0.24598,0.03114,0.23712,4.03000,0.55178,2.85017,92.80,65.390,2.668,62.034,2961.13,5636,-0.24,48670,1,0,Latin America & Caribbean,LCR,Caribbean Islands,DOM,Upper Middle Income,IBRD
Ecuador,16.475,0.995,9.507,14354.47,0.15460,0.02696,0.09166,6.97000,1.31658,3.03542,645.02,47.920,2.694,27.957,4940.81,7357,-1.14,283561,0,0,Latin America & Caribbean,LCR,Andean South America,ECU,Lower Middle Income,IBRD
"Egypt, Arab Rep.",-9.417,-0.440,-9.284,77266.69,0.00023,0.00003,0.00024,28.80000,4.20920,21.43083,2881.41,-18.800,-0.818,-18.741,44258.36,4979,-0.17,1001450,0,0,Africa,MNA,North Africa,EGY,Lower Middle Income,IBRD
El Salvador,15.365,0.505,17.650,6006.45,0.25856,0.02455,0.30513,2.93000,0.30114,2.53859,130.43,39.430,1.207,45.795,2360.53,5888,0.31,21041,0,0,Latin America & Caribbean,LCR,Central America,SLV,Lower Middle Income,IBRD
Equatorial Guinea,58.940,1.395,22.808,616.46,0.00142,0.00010,0.00057,4.09000,0.30259,1.19332,9.42,100.000,2.204,39.121,373.70,30517,-1.37,28051,1,0,Africa,SSA,Coastal West Africa,GNQ,High Income Non OECD,IBRD
